ano,espvida,fectot,mort1,sobre60,e_anosestudo,gini,ppobcri,pren20ricos,pren80,rdpc,rdpc1,rdpc10,rmpob,rpob,theil,emp,theiltrab,t_banagua,t_lixo,t_luz,t_fora6a14,t_fundin_todos,t_m10a14cf,t_mulchefefif014,homemtot,mulhertot,pesorur,pesourb,i_escolaridade,idhm,idhm_l
1991,60.4,7.64,61.77,64.86,5.07,0.49,93.54,54.84,45.16,109.23,27.09,437.86,63.18,75.84,0.39,,,2.14,3.41,32.59,46.35,24.54,0.0,5.57,3935,3501,4584,2852,47,272,0.59
1991,60.95,7.43,60.24,65.79,7.04,0.49,95.11,55.28,44.72,127.87,28.41,514.34,68.55,85.74,0.41,,,16.96,0.0,31.34,41.63,23.97,0.0,12.4,4013,3491,4941,2563,68,287,599
1991,63.07,6.49,50.9,69.38,4.44,0.59,90.79,63.27,36.73,162.27,21.88,796.23,65.07,86.76,0.62,,,18.88,11.47,52.53,59.16,30.82,0.08,17.51,13995,12710,15409,11296,82,288,635
1991,59.56,6.84,65.43,63.44,4.61,0.64,89.27,68.06,31.94,169.55,18.21,897.51,57.57,77.86,0.73,,,22.5,7.73,51.54,49.82,19.73,0.97,15.69,8961,8256,9304,7913,99,305,576
1991,62.31,5.88,53.88,68.09,2.28,0.51,91.49,55.7,44.3,160.79,30.74,662.95,69.45,101.41,0.47,,,3.32,0.0,38.02,70.82,36.37,0.0,0.0,3563,3270,5126,1707,52,258,622
1991,59.56,7.17,65.43,63.44,3.56,0.51,95.01,57.3,42.7,130.91,31.33,588.51,70.45,84.17,0.46,,,2.66,0.53,42.66,69.01,29.84,0.0,7.97,6277,5875,7962,4190,34,212,576
1991,60.0,7.0,63.5,64.19,3.2,0.62,93.47,64.45,35.55,144.53,10.09,732.39,56.23,78.5,0.58,,,15.58,7.3,62.11,62.73,24.03,0.0,84.07,9901,9397,7800,11498,74,268,583
1991,63.41,6.62,49.58,69.96,2.9,0.62,100.0,64.92,35.08,110.51,5.08,549.14,62.55,95.32,0.55,,,8.6,21.31,18.27,74.6,25.37,0.32,14.57,17056,14760,27488,4328,57,237,0.64
1991,62.31,5.44,53.88,68.09,4.74,0.47,90.18,53.43,46.57,170.78,44.3,628.05,75.9,104.66,0.37,,,11.44,0.0,16.73,52.49,43.09,0.0,10.7,9796,8365,17454,707,49,248,622
1991,62.31,7.12,53.88,68.09,5.18,0.54,89.96,59.07,40.93,146.23,25.67,617.79,65.18,84.29,0.5,,,29.74,24.39,57.12,43.81,26.93,0.28,19.11,19967,18711,17597,21081,116,312,622
